OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
1099,8005005629,"Census Tract 56.29, Arapahoe County, Colorado",Arapahoe,1923,15,15.7,95% C.I.: 15.4 - 16.1,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1100,8005084400,"Census Tract 844, Arapahoe County, Colorado",Arapahoe,2294,15,18.4,95% C.I.: 17.9 - 18.9,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1101,8055960900,"Census Tract 9609, Huerfano County, Colorado",Huerfano,2882,6,26.6,95% C.I.: 23.7 - 30.4,Fourth Quintile,County/Regional Estimate 25.7% (95% C.I.: 14.6 - 36.7),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1102,8055960600,"Census Tract 9606, Huerfano County, Colorado",Huerfano,2580,6,17.6,95% C.I.: 14.7 - 21.7,Lowest Quintile,County/Regional Estimate 25.7% (95% C.I.: 14.6 - 36.7),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1103,8005005624,"Census Tract 56.24, Arapahoe County, Colorado",Arapahoe,2024,15,16.5,95% C.I.: 16.1 - 16.9,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1104,8005005627,"Census Tract 56.27, Arapahoe County, Colorado",Arapahoe,3558,15,16.6,95% C.I.: 16.2 - 17,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1105,8005005614,"Census Tract 56.14, Arapahoe County, Colorado",Arapahoe,2604,15,17.4,95% C.I.: 17 - 17.9,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1106,8005006707,"Census Tract 67.07, Arapahoe County, Colorado",Arapahoe,3888,15,16.6,95% C.I.: 16.2 - 17,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1107,8005006708,"Census Tract 67.08, Arapahoe County, Colorado",Arapahoe,3912,15,16.3,95% C.I.: 15.9 - 16.6,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1108,8005006604,"Census Tract 66.04, Arapahoe County, Colorado",Arapahoe,3636,15,17.4,95% C.I.: 16.9 - 17.9,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1109,8005006603,"Census Tract 66.03, Arapahoe County, Colorado",Arapahoe,2733,15,17.6,95% C.I.: 17.1 - 18,Middle Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1110,8005006705,"Census Tract 67.05, Arapahoe County, Colorado",Arapahoe,1401,15,15.7,95% C.I.: 15.4 - 16.1,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1111,8005006601,"Census Tract 66.01, Arapahoe County, Colorado",Arapahoe,4604,15,18.5,95% C.I.: 18 - 19,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1112,8005005621,"Census Tract 56.21, Arapahoe County, Colorado",Arapahoe,2424,15,17.2,95% C.I.: 16.8 - 17.6,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1113,8005005625,"Census Tract 56.25, Arapahoe County, Colorado",Arapahoe,2488,15,17.3,95% C.I.: 16.9 - 17.7,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1114,8005006704,"Census Tract 67.04, Arapahoe County, Colorado",Arapahoe,3128,15,16.6,95% C.I.: 16.3 - 17,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1115,8005005620,"Census Tract 56.20, Arapahoe County, Colorado",Arapahoe,2580,15,18.3,95% C.I.: 17.9 - 18.8,Middle Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1116,8005006709,"Census Tract 67.09, Arapahoe County, Colorado",Arapahoe,4114,15,16.6,95% C.I.: 16.2 - 17,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1117,8005005619,"Census Tract 56.19, Arapahoe County, Colorado",Arapahoe,3789,15,17.5,95% C.I.: 17.1 - 18,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1118,8005005633,"Census Tract 56.33, Arapahoe County, Colorado",Arapahoe,2489,15,16.2,95% C.I.: 15.9 - 16.6,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1119,8005081700,"Census Tract 817, Arapahoe County, Colorado",Arapahoe,2220,15,16.9,95% C.I.: 16.5 - 17.4,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1120,8005015100,"Census Tract 151, Arapahoe County, Colorado",Arapahoe,2179,15,16.6,95% C.I.: 16.2 - 17,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1121,8005083900,"Census Tract 839, Arapahoe County, Colorado",Arapahoe,2387,15,17.6,95% C.I.: 17.2 - 18.1,Middle Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1122,8005082900,"Census Tract 829, Arapahoe County, Colorado",Arapahoe,3528,15,20.1,95% C.I.: 19.5 - 20.7,Highest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1123,8005087300,"Census Tract 873, Arapahoe County, Colorado",Arapahoe,5983,15,20,95% C.I.: 19.3 - 20.6,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1124,8005086900,"Census Tract 869, Arapahoe County, Colorado",Arapahoe,2379,15,19.1,95% C.I.: 18.5 - 19.7,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1125,8005087100,"Census Tract 871, Arapahoe County, Colorado",Arapahoe,2094,15,20.4,95% C.I.: 19.8 - 21,Highest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1126,8005007301,"Census Tract 73.01, Arapahoe County, Colorado",Arapahoe,1823,15,22.1,95% C.I.: 21.3 - 22.8,Highest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1127,8005006100,"Census Tract 61, Arapahoe County, Colorado",Arapahoe,2572,15,18.1,95% C.I.: 17.6 - 18.6,Middle Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
